yield (kg/acre),area (acre),wind speed,rainfall,Tempreature,profile soil moisture,rootzone soil wetness,no of open well,no of bore wells,canal length,no of ponds,Factamfos,Potash,Urea
1348.5,1696.47,2.02,6.78,10.21,0.758571429,0.774285714,2375,101,61.4,80,101.7882,76.34115,84.8235
1532.68,1281.37,1.66,8.28,10.21,0.79,0.812857143,1705,1235,14.6,90,76.8822,57.66165,64.0685
1438.17,1712.67,2.645714286,9.04,10.21,0.795714286,0.814285714,490,380,32.1,85,102.7602,77.07015,85.6335
1711.56,1944.45,2.02,6.78,10.21,0.758571429,0.774285714,1015,1793,28,185,116.667,87.50025,97.2225
1612.87,1698.54,2.645714286,9.04,10.21,0.795714286,0.814285714,875,1976,80.2,140,101.9124,76.4343,84.927
1523.12,1172.04,1.66,8.28,10.21,0.79,0.812857143,1672,2254,29.4,17,70.3224,52.7418,58.602
1553.1,1781.47,2.02,6.78,10.21,0.758571429,0.774285714,390,885,54.3,117,106.8882,80.16615,89.0735
1981.72,1943.68,1.373333333,2.64,9.51,0.72,0.735,2384,101,61.4,85,116.6208,87.4656,97.184
1845.99,1488.51,1.201666667,2.64,9.51,0.711666667,0.73,1705,1235,14.6,90,89.3106,66.98295,74.4255
2095.84,1770.69,1.841666667,2.64,9.51,0.718333333,0.736666667,490,382,32.1,85,106.2414,79.68105,88.5345
2165.12,2249.67,1.373333333,2.64,9.51,0.72,0.735,1020,1793,28,188,134.9802,101.23515,112.4835
2089.97,1930.39,1.841666667,2.64,9.51,0.718333333,0.736666667,880,1981,80.2,141,115.8234,86.86755,96.5195
1942.33,1348.09,1.201666667,2.64,9.51,0.711666667,0.73,1687,2274,29.4,17,80.8854,60.66405,67.4045
2203.17,1925.68,1.373333333,2.64,9.51,0.72,0.735,391,887,54.3,120,115.5408,86.6556,96.284
1438.46,1764.8,1.72,6.03,10.42,0.762857143,0.78,2391,106,61.4,90,105.888,79.416,88.24
1143.99,1330.98,1.402857143,9.79,10.42,0.82,0.845714286,1710,1239,14.6,90,79.8588,59.8941,66.549
1338.37,2011.16,2.271428571,9.79,10.42,0.821428571,0.845714286,490,382,32.1,85,120.6696,90.5022,100.558
1503.19,2298.26,1.72,6.03,10.42,0.762857143,0.78,1022,1795,28,189,137.8956,103.4217,114.913
1376.27,1889.29,2.271428571,9.79,10.42,0.821428571,0.845714286,885,1985,80.2,145,113.3574,85.01805,94.4645
